Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
TC4,-30.27471921,149.8354021,0.05,0,10,156.7852756,3.909237623,232.7142792,0.138191313,0.184661791,0.627044737,48.91110611,21.70155334,30.16463661,NIR,8.06,122,,,,,,,,,,
TC4,-30.27471921,149.8354021,0.45,40,50,156.7852756,3.909237623,232.7142792,0.138191313,0.184661791,0.627044737,55.80330658,22.41551399,25.37952805,NIR,9.66,306,,,,,,,,,,
TD3,-30.27790628,149.8265181,0.05,0,10,136.2587518,3.16468668,229.032547,0.130689397,0.177069053,0.642454982,51.39308167,20.7976017,21.62092972,NIR,8.41,66,,,,,,,,,,
TD3,-30.27790628,149.8265181,0.45,40,50,136.2587518,3.16468668,229.032547,0.130689397,0.177069053,0.642454982,57.2692337,19.89749336,24.50109863,NIR,8.78,146,,,,,,,,,,
TD4,-30.28377866,149.8285759,0.05,0,10,139.6546944,3.573118925,228.8266144,0.135252327,0.182197884,0.688622773,53.41482925,21.29854012,23.72500229,NIR,8.59,156,,,,,,,,,,
TD4,-30.28377866,149.8285759,0.45,40,50,139.6546944,3.573118925,228.8266144,0.135252327,0.182197884,0.688622773,60.07688904,19.60882378,15.80389118,NIR,9.21,196,,,,,,,,,,
TE2,-30.2740081,149.83208,0.05,0,10,135.7455678,4.29450655,232.4674683,0.158493847,0.20896104,0.767221332,44.61278534,26.4421463,86.61223602,NIR,8.34,241,,,,,,,,,,
TE2,-30.2740081,149.83208,0.45,40,50,135.7455678,4.29450655,232.4674683,0.158493847,0.20896104,0.767221332,53.87762833,19.41166496,24.55692291,NIR,8.54,145,,,,,,,,,,
TE3,-30.2708338,149.837493,0.05,0,10,162.0122413,4.383565903,234.9248352,0.146744281,0.18932274,0.662851632,43.84638977,23.07263947,32.5787735,NIR,8.74,151,,,,,,,,,,
TE3,-30.2708338,149.837493,0.45,40,50,162.0122413,4.383565903,234.9248352,0.146744281,0.18932274,0.662851632,54.58078384,22.61717796,23.50978851,NIR,9.15,218,,,,,,,,,,
