Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
S1,-30.264663,149.85268,0.05,0,10,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,55.77109602,21.82347236,22.40543162,PSA,6.7,265,1,1.7,1.2,0.2,12,12,1.2,0.74,26,2.85
S1,-30.264663,149.85268,0.2,10,30,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,52.69699478,21.10428429,22.75541115,NIR,7.74,211,0.83,1.4,1.1,0.27,12,13,0.64,1.5,27,5.56
S1,-30.264663,149.85268,0.45,30,60,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,57.48031496,20.47244094,22.04724409,PSA,9.05,254,0.72,1.2,1.3,0.58,10,16,0.67,3.3,30,11
S1,-30.264663,149.85268,0.7,60,80,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,51.99911499,17.45808983,25.53447533,NIR,8.95,337,0.49,0.84,1.3,0.81,7,15,0.59,4.8,27,17.78
S1,-30.264663,149.85268,0.9,80,100,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,53.98920216,22.4955009,23.51529694,PSA,9.36,391,0.29,0.5,0.93,0.64,5.5,12,0.61,5.2,23,22.61
S10,-30.265302,149.884838,0.05,0,10,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,50.39706781,27.48930971,22.11362248,PSA,8.32,69,0.82,1.4,1.1,0.28,7.5,11,0.69,0.42,20,2.1
S10,-30.265302,149.884838,0.2,10,30,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,54.75682068,21.97114944,23.41884804,NIR,8.22,97,0.74,1.3,1,0.26,8,12,0.22,0.78,21,3.71
S10,-30.265302,149.884838,0.45,30,60,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,54.16792055,24.07463136,21.75744809,PSA,9.14,183,0.62,1.1,1.1,0.48,9,15,0.38,3,27,11.11
S10,-30.265302,149.884838,0.7,60,80,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,59.33605957,23.74036026,17.97440147,NIR,9.18,292,0.48,0.83,0.81,0.33,6,12,0.23,3.8,22,17.27
S11,-30.278542,149.838791,0.05,0,10,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,56.09224057,12.46494235,31.44281708,PSA,8.94,247,0.64,1.1,1.2,0.56,14,8.2,0.64,1.7,25,6.8
S11,-30.278542,149.838791,0.2,10,30,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,59.86071777,15.18445015,29.26007843,NIR,9.25,250,0.51,0.88,0.94,0.43,11,9.9,0.26,3,24,12.5
S11,-30.278542,149.838791,0.45,30,60,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,57.76636714,15.24390244,26.98973042,PSA,9.32,379,0.42,0.72,0.92,0.5,9.5,11,0.36,5.2,26,20
S11,-30.278542,149.838791,0.7,60,80,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,55.80745697,20.9389782,24.84916115,NIR,8.44,1611,0.24,0.41,0.65,0.41,10,7.3,0.38,4.3,22,19.55
S11,-30.278542,149.838791,0.9,80,100,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,61.66419019,21.54531947,16.79049034,PSA,8.98,1036,<0.15,0.26,0.4,0.25,5.5,6.7,0.31,5.7,18,31.67
S12,-30.275437,149.830843,0.05,0,10,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,48.45548153,18.17080557,33.3737129,PSA,8.49,189,1.02,1.8,1.1,0.08,9.5,9.1,1.5,0.22,20,1.1
S12,-30.275437,149.830843,0.2,10,30,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,59.89332199,22.82202148,16.79480743,NIR,8.62,129,0.89,1.5,1,0.11,9,12,0.49,0.41,22,1.86
S12,-30.275437,149.830843,0.45,30,60,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,58.28220859,13.03680982,28.6809816,PSA,9.01,215,0.56,0.96,1.6,1.04,8,16,0.61,1.4,26,5.38
S12,-30.275437,149.830843,0.7,60,80,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,62.02189636,19.41973877,15.53506565,NIR,9.6,284,0.37,0.64,1.6,1.23,5,15,0.51,3.3,24,13.75
S12,-30.275437,149.830843,0.88,80,95,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,58.27505828,18.21095571,23.51398601,PSA,9.68,369,0.24,0.41,1.5,1.26,4.3,15,0.69,4.8,25,19.2
S13,-30.272546,149.83739,0.05,0,10,139.5196365,5.145851135,234.8033295,0.151090145,0.193553671,0.682542384,45.31463748,26.50478796,28.18057456,PSA,8.7,145,1.28,2.2,1.5,0.22,10,4.9,1.9,0.022,17,0.13
S13,-30.272546,149.83739,0.2,10,30,139.5196365,5.145851135,234.8033295,0.151090145,0.193553671,0.682542384,51.32693863,25.49333191,88.28986359,NIR,8.64,98,1.08,1.9,1.2,0.12,11,7,0.79,0.022,19,0.12
S13,-30.272546,149.83739,0.45,30,60,139.5196365,5.145851135,234.8033295,0.151090145,0.193553671,0.682542384,52.43722304,15.50960118,32.05317578,PSA,8.54,135,0.79,1.4,1.7,0.91,11,9.9,0.72,0.022,22,0.1
S13,-30.272546,149.83739,0.7,60,80,139.5196365,5.145851135,234.8033295,0.151090145,0.193553671,0.682542384,54.92221069,24.28372383,26.76898956,NIR,8.68,116,0.48,0.83,4.2,3.72,7.5,8.2,0.41,0.022,16,0.14
S13,-30.272546,149.83739,0.85,80,90,139.5196365,5.145851135,234.8033295,0.151090145,0.193553671,0.682542384,47.64654923,20.93560497,31.4178458,PSA,8.7,132,0.29,0.5,4.5,4.21,7,9.9,0.33,0.029,17,0.17
S14,-30.274718,149.884349,0.05,0,10,147.5545786,5.205207348,263.1074219,0.127101958,0.173898071,0.673366129,47.59746147,21.90994258,30.49259595,PSA,8.52,203,0.79,1.4,0.96,0.17,12,9.1,1.4,0.57,23,2.48
S14,-30.274718,149.884349,0.2,10,30,147.5545786,5.205207348,263.1074219,0.127101958,0.173898071,0.673366129,56.62923431,25.33202744,14.09791946,NIR,8.85,116,0.61,1,0.88,0.27,10,9.1,0.61,1,21,4.76
S14,-30.274718,149.884349,0.45,30,60,147.5545786,5.205207348,263.1074219,0.127101958,0.173898071,0.673366129,49.44899689,24.72449845,25.82650466,PSA,9.09,188,0.59,1,0.91,0.32,11,12,0.46,2.3,26,8.85
S14,-30.274718,149.884349,0.7,60,80,147.5545786,5.205207348,263.1074219,0.127101958,0.173898071,0.673366129,50.84543228,22.4792366,22.03159904,NIR,9.21,276,0.53,0.91,0.98,0.45,8.5,13,0.44,4,26,15.38
S14,-30.274718,149.884349,0.9,80,100,147.5545786,5.205207348,263.1074219,0.127101958,0.173898071,0.673366129,49.33703361,21.5849522,29.07801418,PSA,9.53,314,0.3,0.52,0.99,0.69,6.5,12,0.38,4.4,23,19.13
S15,-30.283844,149.834467,0.05,0,10,147.9735385,3.425433397,231.0079956,0.138562486,0.193845436,0.602832854,50.05977286,12.70173341,37.23849372,PSA,8.65,205,0.68,1.2,0.9,0.22,18,8.2,1.2,0.57,28,2.04
S15,-30.283844,149.834467,0.2,10,30,147.9735385,3.425433397,231.0079956,0.138562486,0.193845436,0.602832854,56.60919952,12.71409225,29.30489349,NIR,8.9,169,0.51,0.88,0.95,0.44,17,11,0.67,1.3,30,4.33
S15,-30.283844,149.834467,0.45,30,60,147.9735385,3.425433397,231.0079956,0.138562486,0.193845436,0.602832854,50.23640662,13.29787234,36.46572104,PSA,9.02,274,0.48,0.83,1.1,0.62,14,12,0.41,3.3,30,11
S15,-30.283844,149.834467,0.7,60,80,147.9735385,3.425433397,231.0079956,0.138562486,0.193845436,0.602832854,56.23989868,10.8137598,33.07789993,NIR,9.14,312,0.46,0.79,1.1,0.64,8.5,8.2,0.44,3.9,21,18.57
S15,-30.283844,149.834467,0.85,80,90,147.9735385,3.425433397,231.0079956,0.138562486,0.193845436,0.602832854,55.69306931,13.14975248,31.15717822,PSA,9.23,348,0.41,0.71,0.74,0.33,11,11,0.61,5.7,28,20.36
S16,-30.271458,149.875227,0.05,0,10,127.8574795,4.584733009,257.4149475,0.13028197,0.173050866,0.649187386,50.07473842,13.4529148,36.47234679,PSA,8.2,138,0.75,1.3,0.96,0.21,15,9.1,1.3,0.26,26,1
S16,-30.271458,149.875227,0.2,10,30,127.8574795,4.584733009,257.4149475,0.13028197,0.173050866,0.649187386,54.61565399,16.02879333,29.71438217,NIR,8.35,153,0.57,0.98,0.81,0.24,14,12,0.74,0.52,27,1.93
S16,-30.271458,149.875227,0.45,30,60,127.8574795,4.584733009,257.4149475,0.13028197,0.173050866,0.649187386,50.73112504,16.41301104,32.85586392,PSA,8.83,166,0.47,0.81,0.93,0.46,12,16,0.51,1.3,30,4.33
S16,-30.271458,149.875227,0.7,60,80,127.8574795,4.584733009,257.4149475,0.13028197,0.173050866,0.649187386,52.63312149,14.44344711,29.51517487,NIR,9.18,224,0.41,0.71,0.9,0.49,8,16,0.9,2.3,27,8.52
S16,-30.271458,149.875227,0.9,80,100,127.8574795,4.584733009,257.4149475,0.13028197,0.173050866,0.649187386,51.08084098,15.54634291,33.37281611,PSA,9.36,282,0.81,1.4,1.3,0.49,6.5,16,0.72,3.1,26,11.92
S17,-30.276671,149.887489,0.05,0,10,121.839191,4.964675426,262.6378479,0.13035658,0.181822523,0.581758201,49.85119048,16.36904762,33.7797619,PSA,8.34,173,0.6,1,0.99,0.39,14,7.7,1.5,0.07,23,0.3
S17,-30.276671,149.887489,0.2,10,30,121.839191,4.964675426,262.6378479,0.13035658,0.181822523,0.581758201,48.08430862,18.29051399,25.72395515,NIR,8.29,119,0.64,1.1,0.82,0.18,14,7.2,0.77,0.022,22,0.1
S17,-30.276671,149.887489,0.45,30,60,121.839191,4.964675426,262.6378479,0.13035658,0.181822523,0.581758201,54.54850621,15.94494797,29.50654582,PSA,8.45,81,0.6,1,0.77,0.17,13,9.1,0.44,0.19,23,0.83
S17,-30.276671,149.887489,0.7,60,80,121.839191,4.964675426,262.6378479,0.13035658,0.181822523,0.581758201,45.68210602,16.42181396,31.49762154,NIR,8.41,91,0.54,0.93,0.73,0.19,13,11,0.49,0.3,25,1.2
S17,-30.276671,149.887489,0.9,80,100,121.839191,4.964675426,262.6378479,0.13035658,0.181822523,0.581758201,40.70335396,8.95473787,50.34190817,PSA,8.56,115,0.35,0.6,0.74,0.39,11,9.1,0.82,0.44,21,2.1
S18,-30.282576,149.820073,0.05,0,10,154.5290705,3.613658428,225.8434906,0.139158621,0.181264177,0.680900037,50.85003036,12.14329083,37.00667881,PSA,8.36,206,0.65,1.1,0.83,0.18,15,9.9,1,0.48,26,1.85
S18,-30.282576,149.820073,0.2,10,30,154.5290705,3.613658428,225.8434906,0.139158621,0.181264177,0.680900037,58.51459503,9.291283607,30.3651886,NIR,8.78,176,0.53,0.91,0.87,0.34,15,12,0.61,1.3,29,4.48
S18,-30.282576,149.820073,0.45,30,60,154.5290705,3.613658428,225.8434906,0.139158621,0.181264177,0.680900037,59.15795943,9.987707437,30.85433313,PSA,9.12,242,0.52,0.89,0.79,0.27,12,15,0.67,3.6,31,11.61
S18,-30.282576,149.820073,0.7,60,80,154.5290705,3.613658428,225.8434906,0.139158621,0.181264177,0.680900037,60.34931183,11.8458662,26.67131805,NIR,9.37,292,0.48,0.83,0.92,0.44,10,15,0.69,5.2,31,16.77
S18,-30.282576,149.820073,0.9,80,100,154.5290705,3.613658428,225.8434906,0.139158621,0.181264177,0.680900037,58.79510309,12.88659794,28.31829897,PSA,9.39,360,0.38,0.65,0.9,0.52,8,12,0.69,5.2,26,20
S19,-30.285861,149.826839,0.05,0,10,157.3736787,3.591239929,227.593277,0.13895224,0.208478898,0.600133359,51.15859163,14.29431237,34.547096,PSA,8.2,273,0.92,1.6,1.1,0.18,15,9.9,1.2,0.3,26,1.15
S19,-30.285861,149.826839,0.2,10,30,157.3736787,3.591239929,227.593277,0.13895224,0.208478898,0.600133359,49.56027222,19.00876808,31.18642426,NIR,8.64,122,0.76,1.3,0.97,0.21,15,12,0.61,0.96,29,3.31
S19,-30.285861,149.826839,0.45,30,60,157.3736787,3.591239929,227.593277,0.13895224,0.208478898,0.600133359,53.83895131,16.38576779,29.7752809,PSA,8.95,205,0.69,1.2,0.99,0.3,15,15,0.61,2.4,33,7.27
S19,-30.285861,149.826839,0.7,60,80,157.3736787,3.591239929,227.593277,0.13895224,0.208478898,0.600133359,53.16192245,17.46640396,25.61778831,NIR,8.91,326,0.69,1.2,1.1,0.41,12,15,0.59,3.5,31,11.29
S19,-30.285861,149.826839,0.9,80,100,157.3736787,3.591239929,227.593277,0.13895224,0.208478898,0.600133359,62.66276042,9.765625,27.57161458,PSA,9.04,403,0.63,1.1,1.1,0.47,8.5,12,0.46,4,25,16
S2,-30.263587,149.860751,0.05,0,10,151.1892292,4.49176693,247.3591766,0.13506493,0.187883481,0.640395582,55.53817272,17.99123905,26.47058824,PSA,8.58,175,0.85,1.5,0.98,0.13,13,12,1.5,0.78,27,2.89
S2,-30.263587,149.860751,0.2,10,30,151.1892292,4.49176693,247.3591766,0.13506493,0.187883481,0.640395582,57.40236664,23.40344429,22.1360054,NIR,8.64,201,0.67,1.2,0.97,0.3,13,13,0.84,1.6,28,5.71
S2,-30.263587,149.860751,0.45,30,60,151.1892292,4.49176693,247.3591766,0.13506493,0.187883481,0.640395582,53.55046948,15.40492958,31.04460094,PSA,9.21,272,0.48,0.83,0.99,0.51,9.5,15,0.54,3.1,28,11.07
S2,-30.263587,149.860751,0.7,60,80,151.1892292,4.49176693,247.3591766,0.13506493,0.187883481,0.640395582,51.06988907,20.36221123,18.63069725,NIR,9.53,317,0.24,0.41,0.99,0.75,6,12,0.49,4.1,23,17.83
S2,-30.263587,149.860751,0.88,80,95,151.1892292,4.49176693,247.3591766,0.13506493,0.187883481,0.640395582,46.25417046,18.95662724,34.78920231,PSA,9.68,339,0.18,0.31,0.69,0.51,4,8.1,0.41,3.5,16,21.88
S20,-30.278559,149.82857,0.05,0,10,144.6899909,3.668415785,229.7151337,0.131727412,0.18113552,0.711392403,54.03782648,14.25998199,31.70219153,PSA,8.29,157,0.9,1.5,1.1,0.2,16,9.9,1.7,0.15,28,0.54
S20,-30.278559,149.82857,0.2,10,30,144.6899909,3.668415785,229.7151337,0.131727412,0.18113552,0.711392403,54.06583023,13.0874052,32.97264481,NIR,8.41,135,0.61,1,0.95,0.34,15,11,0.77,0.33,27,1.22
S20,-30.278559,149.82857,0.45,30,60,144.6899909,3.668415785,229.7151337,0.131727412,0.18113552,0.711392403,56.19834711,9.917355372,33.88429752,PSA,8.78,153,0.54,0.93,0.99,0.45,13,12,0.67,0.87,27,3.22
S20,-30.278559,149.82857,0.7,60,80,144.6899909,3.668415785,229.7151337,0.131727412,0.18113552,0.711392403,53.50682068,12.96204185,32.91965866,NIR,8.83,192,0.59,1,0.97,0.38,8.5,12,0.59,1.4,22,6.36
S20,-30.278559,149.82857,0.9,80,100,144.6899909,3.668415785,229.7151337,0.131727412,0.18113552,0.711392403,51.00574713,15.0862069,33.90804598,PSA,9.12,217,0.49,0.84,0.91,0.42,8.5,13,0.61,2.1,24,8.75
S21,-30.276896,149.843088,0.05,0,10,107.2384064,1.133232474,236.9454803,0.205287397,0.359507263,0.573719919,5.403812144,4.421300845,90.17488701,PSA,6.62,126,0.5,0.86,0.67,0.17,0.32,0.28,0.33,0.022,0.95,2.32
S21,-30.276896,149.843088,0.2,10,30,107.2384064,1.133232474,236.9454803,0.205287397,0.359507263,0.573719919,34.20808411,14.41143703,81.58987427,NIR,6.4,66,0.39,0.67,0.4,0.01,0.3,0.26,0.14,0.022,0.72,3.06
S21,-30.276896,149.843088,0.45,30,60,107.2384064,1.133232474,236.9454803,0.205287397,0.359507263,0.573719919,15.32175689,13.27885598,71.39938713,PSA,8.99,129,<0.15,0.26,0.21,0.06,1.1,4.5,0.26,1.4,7.3,19.18
S21,-30.276896,149.843088,0.7,60,80,107.2384064,1.133232474,236.9454803,0.205287397,0.359507263,0.573719919,33.06600189,9.617995262,62.51684189,NIR,9.51,358,<0.15,0.26,0.16,0.01,1.5,6.9,0.28,2.9,12,24.17
S21,-30.276896,149.843088,0.9,80,100,107.2384064,1.133232474,236.9454803,0.205287397,0.359507263,0.573719919,35.13953962,5.092686902,59.76777348,PSA,9.33,483,<0.15,0.26,0.17,0.02,0.95,7.4,0.36,4,13,30.77
S22,-30.263432,149.899964,0.05,0,10,125.2490875,5.839712143,273.7011108,0.200708315,0.322032124,0.497645199,36.35788808,15.80777743,47.83433449,PSA,7.88,113,1,1.7,1.2,0.2,9,6.4,1.3,0.11,17,0.65
S22,-30.263432,149.899964,0.2,10,30,125.2490875,5.839712143,273.7011108,0.200708315,0.322032124,0.497645199,46.59946823,18.42967796,32.38998032,NIR,7.92,79,0.77,1.3,1,0.23,14,9.1,0.61,0.17,24,0.71
S22,-30.263432,149.899964,0.45,30,60,125.2490875,5.839712143,273.7011108,0.200708315,0.322032124,0.497645199,48.20936639,19.13070095,32.65993266,PSA,8.42,111,0.66,1.1,1.1,0.44,15,12,0.54,0.48,28,1.71
S22,-30.263432,149.899964,0.7,60,80,125.2490875,5.839712143,273.7011108,0.200708315,0.322032124,0.497645199,48.36686707,15.4873848,28.08874321,NIR,8.45,158,0.66,1.1,1.1,0.44,13,14,0.51,0.65,28,2.32
S22,-30.263432,149.899964,0.9,80,100,125.2490875,5.839712143,273.7011108,0.200708315,0.322032124,0.497645199,50.92592593,19.29012346,29.78395062,PSA,8.73,165,0.61,1,1.1,0.49,13,16,0.56,1.1,31,3.55
S23,-30.277575,149.834507,0.05,0,10,172.3987342,3.980249882,231.3972321,0.189604878,0.308664858,0.591339648,43.63694065,16.66137734,39.70168201,PSA,7.92,249,0.94,1.6,1.1,0.16,8.5,11,1,0.4,21,1.9
S23,-30.277575,149.834507,0.2,10,30,172.3987342,3.980249882,231.3972321,0.189604878,0.308664858,0.591339648,50.3554039,18.33935928,33.09246826,NIR,8.52,207,0.74,1.3,1.1,0.36,9.5,12,0.69,0.87,23,3.78
S23,-30.277575,149.834507,0.45,30,60,172.3987342,3.980249882,231.3972321,0.189604878,0.308664858,0.591339648,46.62379421,13.66559486,39.71061093,PSA,8.91,222,0.65,1.1,1.2,0.55,9,16,0.59,1.7,27,6.3
S23,-30.277575,149.834507,0.7,60,80,172.3987342,3.980249882,231.3972321,0.189604878,0.308664858,0.591339648,56.71993256,17.47971344,27.53168869,NIR,9.28,295,0.6,1,1.2,0.6,7.5,17,0.49,2.7,28,9.64
S23,-30.277575,149.834507,0.88,80,95,172.3987342,3.980249882,231.3972321,0.189604878,0.308664858,0.591339648,53.27608142,14.3129771,32.41094148,PSA,9.27,332,0.53,0.91,1,0.47,6.5,17,0.56,3.2,27,11.85
S24,-30.257766,149.893432,0.05,0,10,161.3080527,5.571778774,265.969635,0.139216676,0.184830591,0.620129883,51.90311419,20.44668135,27.65020447,PSA,7.99,156,0.8,1.4,1,0.2,15,11,0.87,0.36,27,1.33
S24,-30.257766,149.893432,0.2,10,30,161.3080527,5.571778774,265.969635,0.139216676,0.184830591,0.620129883,48.73764038,18.64307404,29.66459084,NIR,8.3,91,0.79,1.4,0.99,0.2,15,11,0.64,0.87,28,3.11
S24,-30.257766,149.893432,0.45,30,60,161.3080527,5.571778774,265.969635,0.139216676,0.184830591,0.620129883,53.22633475,19.65280052,27.12086472,PSA,8.89,152,0.72,1.2,1,0.28,16,12,0.77,2.1,31,6.77
S24,-30.257766,149.893432,0.7,60,80,161.3080527,5.571778774,265.969635,0.139216676,0.184830591,0.620129883,49.38282013,22.5107975,31.68276596,NIR,8.88,189,0.72,1.2,1,0.28,13,12,0.51,2.8,28,10
S25,-30.266035,149.897947,0.05,0,10,155.236213,5.960235119,274.1459656,0.154532671,0.196848184,0.62099123,44.07294833,18.23708207,37.6899696,PSA,7.75,81,1,1.7,1.3,0.3,10,9.1,1.3,0.2,21,0.95
S25,-30.266035,149.897947,0.2,10,30,155.236213,5.960235119,274.1459656,0.154532671,0.196848184,0.62099123,46.14661026,19.05644226,33.02783585,NIR,7.64,111,0.93,1.6,1.3,0.37,13,11,0.64,0.33,25,1.32
S25,-30.266035,149.897947,0.45,30,60,155.236213,5.960235119,274.1459656,0.154532671,0.196848184,0.62099123,50.01538935,14.61988304,35.36472761,PSA,8.58,132,0.74,1.3,1,0.26,13,12,0.41,0.74,26,2.85
S25,-30.266035,149.897947,0.7,60,80,155.236213,5.960235119,274.1459656,0.154532671,0.196848184,0.62099123,47.85435486,24.41295242,27.32198715,NIR,8.45,181,0.64,1.1,1,0.36,12,12,0.38,1.2,26,4.62
S25,-30.266035,149.897947,0.9,80,100,155.236213,5.960235119,274.1459656,0.154532671,0.196848184,0.62099123,49.84423676,17.13395639,33.02180685,PSA,8.82,188,0.63,1.1,1,0.37,10,12,0.44,2,24,8.33
S26,-30.264101,149.899173,0.05,0,10,148.3221964,6.015975952,273.4944153,0.138830766,0.193137854,0.645688772,29.5992714,15.17911354,55.22161506,PSA,7.48,100,0.86,1.5,0.99,0.13,9,5.2,1,0.19,15,1.27
S26,-30.264101,149.899173,0.2,10,30,148.3221964,6.015975952,273.4944153,0.138830766,0.193137854,0.645688772,39.47371292,19.85541534,38.27197647,NIR,7.77,67,0.71,1.2,0.99,0.28,11,6.4,0.54,0.25,18,1.39
S26,-30.264101,149.899173,0.45,30,60,148.3221964,6.015975952,273.4944153,0.138830766,0.193137854,0.645688772,45.59270517,15.19756839,39.20972644,PSA,8.64,97,0.67,1.2,0.9,0.23,14,11,0.49,0.83,26,3.19
S26,-30.264101,149.899173,0.7,60,80,148.3221964,6.015975952,273.4944153,0.138830766,0.193137854,0.645688772,50.01967621,20.24583054,27.05772972,NIR,8.99,174,0.65,1.1,0.94,0.29,12,13,0.38,1.8,27,6.67
S26,-30.264101,149.899173,0.9,80,100,148.3221964,6.015975952,273.4944153,0.138830766,0.193137854,0.645688772,54.01483392,20.15478878,25.8303773,PSA,9.29,226,0.65,1.1,0.94,0.29,10,15,0.41,3.7,29,12.76
S27,-30.267325,149.885644,0.05,0,10,144.1002387,5.841292381,265.3091736,0.139537871,0.185621083,0.583888531,43.17643075,15.23874026,41.58482899,PSA,7.11,219,0.77,1.3,0.94,0.17,7.5,7.1,0.74,0.57,16,3.56
S27,-30.267325,149.885644,0.2,10,30,144.1002387,5.841292381,265.3091736,0.139537871,0.185621083,0.583888531,50.0828743,22.08841133,26.43951988,NIR,8.27,167,0.68,1.2,0.9,0.22,11,11,0.46,1.1,24,4.58
S27,-30.267325,149.885644,0.45,30,60,144.1002387,5.841292381,265.3091736,0.139537871,0.185621083,0.583888531,28.92561983,10.74380165,60.33057851,PSA,8.98,182,0.4,0.69,0.65,0.25,9.5,9.1,0.33,1.4,20,7
S27,-30.267325,149.885644,0.7,60,80,144.1002387,5.841292381,265.3091736,0.139537871,0.185621083,0.583888531,37.31803894,19.01196289,46.98557663,NIR,8.96,133,0.26,0.45,0.36,0.1,6,6.9,0.26,1.8,15,12
S27,-30.267325,149.885644,0.88,80,95,144.1002387,5.841292381,265.3091736,0.139537871,0.185621083,0.583888531,29.67597048,12.03079885,58.29323067,PSA,9.27,91,0.24,0.41,0.36,0.12,7,9.1,0.11,3.3,20,16.5
S28,-30.275125,149.880262,0.05,0,10,152.796612,4.097705364,259.9962158,0.115285084,0.162053674,0.632539451,55.62619199,2.383979657,41.98982835,PSA,8.2,211,0.7,1.2,0.94,0.24,14,9.1,1,1,25,4
S28,-30.275125,149.880262,0.2,10,30,152.796612,4.097705364,259.9962158,0.115285084,0.162053674,0.632539451,59.26674271,19.17968941,26.2123909,NIR,8.96,204,0.54,0.93,0.79,0.25,16,12,0.51,2.2,31,7.1
S28,-30.275125,149.880262,0.45,30,60,152.796612,4.097705364,259.9962158,0.115285084,0.162053674,0.632539451,55.60776942,19.5802005,24.81203008,PSA,9.3,271,0.42,0.72,0.79,0.37,12,14,0.49,5.2,32,16.25
S28,-30.275125,149.880262,0.7,60,80,152.796612,4.097705364,259.9962158,0.115285084,0.162053674,0.632539451,54.84896851,18.91769028,28.57579994,NIR,9.92,294,0.32,0.55,0.62,0.3,7.5,11,0.26,6.5,25,26
S29,-30.262713,149.852816,0.05,0,10,150.2158648,4.283918858,244.6181335,0.142437026,0.181601658,0.655089796,52.14819427,16.34495641,31.50684932,PSA,8.5,427,0.73,1.3,1.1,0.37,13,12,0.67,0.74,26,2.85
S29,-30.262713,149.852816,0.2,10,30,150.2158648,4.283918858,244.6181335,0.142437026,0.181601658,0.655089796,54.31102753,19.07365417,33.0383606,NIR,9.03,227,0.67,1.2,1.3,0.63,12,15,0.44,1.7,29,5.86
S29,-30.262713,149.852816,0.45,30,60,150.2158648,4.283918858,244.6181335,0.142437026,0.181601658,0.655089796,50.54315027,16.5962583,32.86059143,PSA,9.32,291,0.4,0.69,1,0.6,9.5,16,0.38,3.7,30,12.33
S29,-30.262713,149.852816,0.7,60,80,150.2158648,4.283918858,244.6181335,0.142437026,0.181601658,0.655089796,50.42257309,18.79182434,28.25638771,NIR,9.71,332,0.25,0.43,0.74,0.49,6,12,0.19,4.8,23,20.87
S29,-30.262713,149.852816,0.88,80,95,150.2158648,4.283918858,244.6181335,0.142437026,0.181601658,0.655089796,35.08510003,14.18333831,50.73156166,PSA,9.7,346,0.16,0.28,0.62,0.46,5,12,0.36,4.8,22,21.82
S3,-30.267655,149.850792,0.05,0,10,152.6180441,4.498130798,242.2137604,0.135523438,0.191244602,0.699925005,58.21173549,17.85159888,23.93666563,PSA,8.75,223,0.75,1.3,0.97,0.22,14,9.9,0.87,0.74,26,2.85
S3,-30.267655,149.850792,0.2,10,30,152.6180441,4.498130798,242.2137604,0.135523438,0.191244602,0.699925005,60.89108276,23.16978073,17.00925636,NIR,8.85,169,0.68,1.2,1.1,0.42,13,12,0.61,1.1,27,4.07
S3,-30.267655,149.850792,0.45,30,60,152.6180441,4.498130798,242.2137604,0.135523438,0.191244602,0.699925005,62.65862944,17.44923858,19.89213198,PSA,9.15,212,0.58,1,1,0.42,12,15,0.74,2.6,30,8.67
S3,-30.267655,149.850792,0.7,60,80,152.6180441,4.498130798,242.2137604,0.135523438,0.191244602,0.699925005,60.70602798,23.62763977,10.35057735,NIR,9.37,270,0.44,0.76,0.82,0.38,9,15,0.64,4.8,29,16.55
S3,-30.267655,149.850792,0.9,80,100,152.6180441,4.498130798,242.2137604,0.135523438,0.191244602,0.699925005,63.81620932,19.1448628,17.03892789,PSA,9.58,336,0.3,0.52,0.59,0.29,7,12,0.56,5.2,25,20.8
S30,-30.261139,149.870552,0.05,0,10,142.4561147,4.375223637,251.3080292,0.122533724,0.173733979,0.631071806,51.02040816,17.96493245,31.01465938,PSA,8.68,152,0.52,0.89,0.76,0.24,17,12,0.95,0.61,31,1.97
S30,-30.261139,149.870552,0.2,10,30,142.4561147,4.375223637,251.3080292,0.122533724,0.173733979,0.631071806,55.83041382,12.56796265,30.8590889,NIR,8.87,169,0.51,0.88,0.78,0.27,15,14,0.64,1.3,31,4.19
