latitude,longitude,moisture,elevation_m,yield_t_ha
-30.263928,149.860396,0,245.60784,2.81665895
-30.263928,149.860395,0,245.57736,0.19345185
-30.263926,149.860391,0,245.57736,0.54719238
-30.263924,149.860387,0,245.57736,0.67093654
-30.263921,149.860382,0,245.57736,0.59953252
-30.263918,149.860377,0,245.57736,0.74478963
-30.263915,149.860371,0,245.57736,0.95049343
-30.263912,149.860366,0,245.57736,1.20713955
-30.263909,149.860361,0,245.57736,1.19875663
-30.263905,149.860354,0,245.54688,0.95552733
-30.263901,149.860346,0,245.54688,0.87182301
-30.263897,149.860339,0,245.5164,0.86217122
-30.263894,149.860335,0,245.5164,1.38081632
-30.263889,149.860326,0,245.54688,0.70040624
-30.263881,149.860312,0,245.5164,0.42559407
-30.263877,149.860305,0,245.5164,0.88842762
-30.263874,149.8603,0,245.5164,1.49809113
-30.26387,149.860293,0,245.5164,0.88523567
-30.263867,149.860286,0,245.48592,1.17905321
-30.263866,149.860283,0,245.5164,2.19039082
-30.263862,149.860276,0,245.48592,1.30952022
-30.263859,149.86027,0,245.48592,1.22688498
-30.263856,149.860263,0,245.5164,1.25408386
-30.263852,149.860255,0,245.48592,1.24486266
-30.263849,149.860248,0,245.48592,1.36190103
-30.263846,149.860241,0,245.5164,1.49241654
-30.263843,149.860233,0,245.48592,1.62606287
-30.26384,149.860226,0,245.5164,1.58705402
-30.263837,149.860219,0,245.5164,1.64196939
-30.263833,149.860211,0,245.48592,1.63321725
-30.26383,149.860203,0,245.45544,1.59920197
-30.263827,149.860196,0,245.42496,1.7188509
-30.263823,149.860188,0,245.45544,1.79884428
-30.26382,149.860181,0,245.45544,1.77376626
-30.263817,149.860173,0,245.42496,1.81220701
-30.263814,149.860166,0,245.45544,1.77685525
-30.263811,149.860158,0,245.42496,1.85064777
-30.263807,149.860151,0,245.42496,1.76428088
-30.263803,149.860141,0,245.42496,1.47681143
-30.263797,149.86013,0,245.42496,1.25195589
-30.263793,149.860123,0,245.42496,1.9604785
-30.263789,149.860114,0,245.42496,1.59485778
-30.263784,149.860103,0,245.39448,1.27497118
-30.263779,149.860094,0,245.42496,1.51031332
-30.263775,149.860085,0,245.42496,1.48848798
-30.263771,149.860078,0,245.39448,1.91233603
-30.263766,149.860067,10.9,245.39448,1.08113571
-30.263762,149.860057,10.9,245.39448,1.26275038
-30.263758,149.860048,10.9,245.39448,1.25516629
-30.263753,149.860039,10.9,245.364,1.28550264
-30.263749,149.860029,10.9,245.364,1.36124627
-30.263744,149.86002,10.9,245.364,1.36892759
-30.26374,149.86001,10.9,245.364,1.37253465
-30.263736,149.860001,10.9,245.33352,1.4818138
-30.263731,149.859991,10.9,245.33352,1.40486171
-30.263726,149.859981,10.9,245.33352,1.36513554
-30.263721,149.859971,10.9,245.33352,1.41452029
-30.263716,149.85996,10.9,245.33352,1.31897154
-30.263711,149.859948,10.9,245.364,1.16289324
-30.263705,149.859936,10.9,245.33352,1.10844339
-30.2637,149.859924,10.9,245.364,1.09448776
-30.263695,149.859911,10.9,245.364,1.02676861
-30.26369,149.859898,10.9,245.364,0.94098849
