latitude,longitude,moisture,elevation_m,yield_t_ha
-30.272947,149.894062,14.1,267.462,0.28386624
-30.272953,149.894062,14.1,267.43152,0.69083017
-30.272956,149.894062,14.1,267.462,3.70459778
-30.27296,149.894062,14.1,267.49248,2.74595186
-30.272976,149.894062,14.1,267.43152,0.98812486
-30.272992,149.894062,14.1,267.462,1.33094245
-30.273008,149.894062,14.1,267.40104,1.69970676
-30.273023,149.894063,14.1,267.40104,2.19351184
-30.273038,149.894063,14.1,267.40104,2.59897919
-30.273055,149.894063,14.1,267.40104,2.62246527
-30.273075,149.894064,14.1,267.37056,2.61132362
-30.273093,149.894064,14.1,267.37056,2.92289912
-30.273113,149.894064,14.1,267.34008,3.07265746
-30.273132,149.894065,14.1,267.3096,3.33485134
-30.27315,149.894065,14.1,267.3096,3.57725223
-30.273169,149.894065,14.1,267.3096,3.61483619
-30.273188,149.894066,14.1,267.27912,3.6752335
-30.273207,149.894066,14.1,267.3096,3.86166406
-30.273225,149.894066,14.1,267.27912,3.98670778
-30.273244,149.894067,14.1,267.24864,3.8612772
-30.273263,149.894067,14.1,267.24864,4.01252167
-30.273282,149.894067,14.1,267.21816,4.15304909
-30.273301,149.894067,14.1,267.21816,3.99706603
-30.27332,149.894068,14.1,267.18768,4.08046059
-30.273339,149.894068,14.1,267.21816,4.22454133
-30.273357,149.894068,13.8,267.18768,4.24307324
-30.273376,149.894068,13.8,267.18768,4.29497081
-30.273395,149.894069,13.8,267.1572,4.35044751
-30.273414,149.894069,13.8,267.1572,4.46213001
-30.273432,149.894069,13.8,267.18768,4.55090158
-30.273451,149.89407,13.8,267.1572,4.58667091
-30.27347,149.89407,13.8,267.12672,4.62511434
-30.273488,149.89407,13.8,267.12672,4.94660124
-30.273507,149.89407,13.8,267.12672,4.82647344
-30.273526,149.894071,13.8,267.12672,4.92772782
-30.273545,149.894071,13.8,267.09624,4.89447715
-30.273563,149.894071,13.8,267.12672,5.0388508
-30.273582,149.894071,13.8,267.12672,4.928479
-30.273601,149.894071,13.8,267.12672,4.91058329
-30.273619,149.894072,13.8,267.12672,4.95309113
-30.273638,149.894072,14.8,267.06576,4.75494617
-30.273657,149.894073,14.8,267.09624,4.91331332
-30.273675,149.894073,14.8,267.12672,4.89518301
-30.273694,149.894073,14.8,267.06576,4.75633139
-30.273713,149.894073,14.8,267.09624,4.81863282
-30.273731,149.894073,14.8,267.09624,4.81147023
-30.27375,149.894074,14.8,267.06576,4.7421809
-30.273769,149.894074,14.8,267.06576,4.6728137
-30.273788,149.894074,14.8,267.03528,4.6605812
-30.273807,149.894074,14.8,267.03528,4.74521627
-30.273826,149.894075,14.8,267.0048,4.59417622
-30.273845,149.894075,14.8,267.0048,4.6236706
-30.273863,149.894075,14.8,266.97432,4.66105583
-30.273883,149.894076,14.8,266.91336,4.46868911
-30.273902,149.894076,14.8,266.91336,4.56353105
-30.27392,149.894076,13.2,266.94384,4.6456271
-30.273939,149.894077,13.2,266.8524,4.64742913
-30.273959,149.894077,13.2,266.82192,4.53853518
-30.273977,149.894077,13.2,266.82192,4.77839149
-30.273996,149.894077,13.2,266.79144,4.60010445
-30.274015,149.894077,13.2,266.76096,4.76095687
-30.274034,149.894078,13.2,266.73048,4.6827832
-30.274053,149.894078,13.2,266.73048,4.86534098
-30.274072,149.894078,13.2,266.7,4.92061651
-30.27409,149.894079,13.2,266.7,4.89291034
-30.274108,149.894079,13.2,266.73048,4.85966293
-30.274127,149.894079,13.2,266.73048,4.71230212
-30.274146,149.894079,13.2,266.76096,4.80055642
-30.274164,149.89408,13.2,266.76096,4.73590869
-30.274182,149.89408,13.2,266.76096,4.59899686
-30.274202,149.89408,13.2,266.73048,4.39026026
-30.27422,149.89408,13.2,266.7,4.3320743
-30.274243,149.894081,13.2,266.66952,3.44147623
-30.274258,149.894081,13.2,266.66952,5.35295199
-30.274277,149.894082,13.2,266.66952,3.82589995
-30.2743,149.894082,13.2,266.60856,2.96995556
-30.274319,149.894082,13.2,266.63904,3.44970371
-30.274338,149.894082,13.2,266.60856,3.08706865
-30.274357,149.894082,13.2,266.60856,2.83458938
-30.274376,149.894083,13.2,266.57808,2.50674908
-30.274391,149.894083,13.2,266.57808,2.89711428
-30.274414,149.894083,13.2,266.5476,1.78224205
-30.274434,149.894084,13.2,266.51712,1.87800609
-30.274453,149.894084,13.2,266.45616,1.81189583
-30.274473,149.894084,13.2,266.42568,1.71649413
-30.274492,149.894085,13.3,266.3952,1.765881
-30.274511,149.894085,13.3,266.3952,1.86895688
-30.27453,149.894085,13.3,266.3952,1.99877025
-30.274549,149.894085,13.3,266.33424,2.1552576
-30.274569,149.894086,13.3,266.33424,2.345532
-30.274588,149.894086,13.3,266.33424,2.54114118
-30.274607,149.894086,13.3,266.27328,2.72608078
-30.274626,149.894087,13.3,266.27328,2.8843464
-30.274645,149.894087,13.3,266.27328,3.05271776
-30.274663,149.894087,13.3,266.2428,3.10307303
-30.274682,149.894088,13.3,266.2428,3.20031379
-30.274701,149.894088,13.3,266.2428,3.23631282
-30.27472,149.894088,13.3,266.21232,3.26511204
-30.274739,149.894089,13.3,266.21232,3.23466467
-30.274758,149.894089,13.3,266.18184,3.20318514
-30.274777,149.894089,13.3,266.12088,3.26133865
-30.274797,149.894089,13.3,266.0904,3.21759332
-30.274816,149.894089,13.3,266.05992,3.28928282
-30.274835,149.894089,13.3,266.02944,3.3769259
-30.274853,149.89409,13.3,266.05992,3.58527557
-30.274871,149.89409,13.3,266.0904,3.70715208
-30.27489,149.89409,13.3,266.12088,3.54959327
-30.274908,149.894091,13.3,266.12088,3.62163744
-30.274927,149.894091,13.3,266.12088,3.64746674
-30.274946,149.894091,13.3,266.12088,3.5747037
-30.274965,149.894092,12,266.05992,3.51082063
-30.274984,149.894092,12,266.02944,3.56510021
-30.275004,149.894092,12,266.02944,3.62249265
-30.275023,149.894092,12,265.99896,3.64054194
-30.275041,149.894092,12,265.96848,3.75262581
-30.275061,149.894093,12,265.938,3.60968625
-30.27508,149.894093,12,265.87704,3.64291917
-30.275099,149.894093,12,265.87704,3.46166058
-30.275118,149.894094,12,265.84656,3.34573686
-30.275137,149.894094,12,265.7856,3.22267938
-30.275156,149.894094,12,265.7856,3.14418645
-30.275175,149.894094,12,265.75512,3.02686606
-30.275195,149.894095,12,265.72464,2.91057706
-30.275214,149.894095,12,265.69416,2.84637315
-30.275233,149.894095,12,265.69416,2.80713743
-30.275252,149.894096,12,265.66368,2.81248776
-30.275271,149.894096,12,265.6332,2.92037524
-30.27529,149.894096,12,265.6332,3.08935622
-30.275309,149.894096,12,265.57224,3.21457868
-30.275328,149.894097,12,265.57224,3.38063216
-30.275347,149.894097,14.4,265.54176,3.56572591
-30.275366,149.894097,14.4,265.51128,3.74023419
-30.275385,149.894098,14.4,265.45032,3.70239129
-30.275404,149.894098,14.4,265.45032,4.09269529
-30.275424,149.894098,14.4,265.35888,4.22250929
-30.275443,149.894098,14.4,265.26744,4.36141594
-30.27546,149.894099,14.4,265.35888,5.07311765
-30.275477,149.894099,14.4,265.4808,5.34926351
-30.275495,149.894099,14.4,265.4808,4.87343354
-30.275513,149.894099,14.4,265.51128,4.87612949
-30.275531,149.8941,14.4,265.54176,4.67407838
