Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
TR3,-30.27343787,149.883856,0.05,0,10,155.9026511,4.84685564,263.3126831,0.123071723,0.166357934,0.625296474,55.62748718,15.89581013,29.29660606,8.36,147,,,,,,,,,,
TR4,-30.27241897,149.891084,0.05,0,10,159.0207655,4.872594833,266.9543762,0.119630434,0.169583783,0.616149426,52.64515305,22.74886894,22.74799919,8.52,127,,,,,,,,,,
TR5,-30.27451822,149.8967081,0.05,0,10,150.1992022,5.867269039,270.9293518,0.131438985,0.181220084,0.585472405,49.71560287,18.41903114,32.67765808,7.72,230,,,,,,,,,,
TS3,-30.27940988,149.876962,0.05,0,10,161.2279669,3.608527899,255.3645477,0.138800099,0.18593137,0.622257531,57.07240295,17.50669289,28.09659767,8.48,120,,,,,,,,,,
TT3,-30.26483213,149.87578,0.05,0,10,141.296925,5.611783504,256.8392334,0.131249562,0.174251676,0.601809978,46.67924118,19.11826897,36.70170212,7.46,100,,,,,,,,,,
TU2,-30.26998376,149.8735329,0.05,0,10,141.2682404,4.59849453,255.6725159,0.126386747,0.181219801,0.556784689,51.69579315,21.87350655,21.79549026,8.23,164,,,,,,,,,,
TU3,-30.26983936,149.886746,0.05,0,10,136.481418,4.982136726,265.054657,0.138443351,0.180996746,0.64171654,48.02513123,16.968153,33.51089096,6.08,63,,,,,,,,,,
TU4,-30.2688634,149.892917,0.05,0,10,147.6252782,5.434982777,270.3509216,0.133946374,0.177788958,0.600216329,49.92468262,24.18282318,23.43052101,8.82,139,,,,,,,,,,
TU5,-30.27022603,149.900733,0.05,0,10,151.7463163,5.321398258,275.617157,0.130959287,0.177882925,0.602428913,52.37397385,20.21341133,20.36465454,8.23,87,,,,,,,,,,
TV2,-30.26485943,149.8693111,0.05,0,10,149.428818,4.529580116,254.3390961,0.122576281,0.173804268,0.622922063,56.03993225,24.76534843,15.66086006,8.44,104,,,,,,,,,,
TV3,-30.26306896,149.881058,0.05,0,10,160.9186163,5.259121895,260.4108582,0.127235308,0.177091628,0.647127509,61.05606079,20.14095688,16.14531326,8.39,74,,,,,,,,,,
TV4,-30.2601708,149.88789,0.05,0,10,132.5751373,5.373728752,263.0808716,0.134869292,0.181613564,0.612178385,52.34920883,20.26802635,25.60327339,8.27,46,,,,,,,,,,
TV5,-30.25877285,149.8920699,0.05,0,10,177.5890466,4.904584408,264.3049622,0.135059163,0.177165926,0.669931114,43.27292252,26.62706947,34.26282883,8.59,74,,,,,,,,,,
TW1,-30.26366305,149.870083,0.05,0,10,152.7977589,4.248751163,252.6974792,0.126442671,0.177341357,0.640031755,62.42014313,15.88889694,17.06096268,8.72,135,,,,,,,,,,
TW2,-30.26237201,149.871747,0.05,0,10,155.8839813,4.072712421,252.5924683,0.127014145,0.174156591,0.599898577,59.38851929,19.8601799,15.01794434,8.69,113,,,,,,,,,,
TW3,-30.26057455,149.873452,0.05,0,10,153.5143098,4.572698593,253.0216522,0.127238885,0.17938076,0.629238605,60.61373138,22.56275558,11.94360733,8.36,116,,,,,,,,,,
TW4,-30.25741709,149.875036,0.05,0,10,148.1180126,4.38313961,253.5119934,0.135283232,0.189300433,0.579530656,62.79177094,22.06223869,14.48248959,8.58,151,,,,,,,,,,
TX1,-30.26706359,149.868244,0.05,0,10,NA,NA,253.0166779,0.212781385,0.365123719,0.618152499,32.485569,6.302837372,41.9550209,8.17,47,,,,,,,,,,
TX2,-30.265089,149.873158,0.05,0,10,149.2992232,4.514483929,254.7343292,0.122866496,0.168849856,0.606370866,59.36568832,28.60360718,16.06059837,9.38,352,,,,,,,,,,
TX3,-30.26544603,149.878549,0.05,0,10,123.8098781,5.516419411,259.0404053,0.127633765,0.165359199,0.517255068,40.19197845,16.95977402,40.28711319,8.61,160,,,,,,,,,,
TX4,-30.26745495,149.885646,0.05,0,10,150.6880816,5.881145,265.271759,0.139537871,0.185621083,0.583888531,46.01008987,20.63737106,33.01125717,8.11,117,,,,,,,,,,
TX5,-30.26781444,149.8900111,0.05,0,10,135.5999873,6.193211555,268.6844482,0.14504452,0.177410692,0.590276182,43.8091011,18.9871788,36.32995605,7.15,65,,,,,,,,,,
TZ1,-30.27122614,149.877422,0.05,0,10,134.7981035,4.671042919,258.8310852,0.12224526,0.171681866,0.65982461,56.70261765,24.25634575,13.4070425,8.58,157,,,,,,,,,,
TZ2,-30.27776045,149.878358,0.05,0,10,186.8066311,3.139384031,257.5066833,0.122776091,0.173865855,0.626913905,56.24849701,22.12983704,21.58431435,8.94,39,,,,,,,,,,
TZ3,-30.27971355,149.87881,0.05,0,10,179.8304671,3.499945879,256.4572754,0.119439788,0.166072205,0.592758894,52.02460098,24.24422646,23.72652245,8.96,74,,,,,,,,,,
